identifier,runeName,abilityIds,runeType,runeSlot,availableTypes,availableDragons,rarityIndex,salvageValueId,enhanceCosts,aura,icon,isTutorialRune,h
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_ballistaEvent,Rare Ballista Attack Glyph,rune_ability_94_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRunePoison,rune_ballista_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTower,Rare Cannon Attack,rune_ability_95_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneCannon,rune_cannon_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_cannonTowerEvent,Rare Cannon Attack Glyph,rune_ability_96_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneCannon,rune_cannon_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTower,Rare Lightning Attack,rune_ability_97_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneLightning,rune_lightning_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTowerEvent,Rare Lightning Attack Glyph,rune_ability_98_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneLightning,rune_lightning_damage_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTower,Rare Storm Attack,rune_ability_99_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneStorm,rune_stormTower_utility_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_stormTowerEvent,Rare Storm Attack Glyph,rune_ability_100_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneStorm,rune_stormTower_utility_02_event.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchet,Rare Trebuchet Attack,rune_ability_101_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneTrebuchet,rune_trebuchet_damage_02.png,,
Rare_attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_trebuchetEvent,Rare Trebuchet Attack Glyph,rune_ability_102_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackRuneTrebuchet,rune_trebuchet_damage_02_event.png,,
Rare_ballistaPoisonAffectDamageToDragonModifier,Rare Weakening,rune_ability_103_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4090,monumentPoison,rune_ballista_debuffDefense_02.png,,
Rare_ballistaPoisonAffectDragonDamageModifier,Rare Enervating,rune_ability_104_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4090,monumentPoison,rune_ballista_debuffAttack_02.png,,
Rare_battlecryAttackModifier,Rare Warrior Attack,rune_ability_105_0,dragon,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_warrior_damage_02.png,,
Rare_battlecryAttackModifierEvent,Rare Warrior Attack Glyph,rune_ability_106_0,dragon,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_warrior_damage_02_event.png,,
Rare_buildingProductionModifier_hogFarm,Rare Food Production,rune_ability_107_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4090,monumentHealing,rune_farm_production_02.png,,
Rare_buildingProductionModifier_lumberMill,Rare Lumber Production,rune_ability_108_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4090,monumentHealing,rune_mill_production_02.png,,
Rare_buildingSpecialAttackModifier_archerTower,Rare Archer Striker,rune_ability_109_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentArcher,rune_archer_damage_02.png,,
Rare_buildingSpecialAttackModifier_archerTowerEvent,Rare Archer Striker Glyph,rune_ability_110_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentArcher,rune_ballista_projectiles_utility_02.png,,
Rare_buildingSpecialAttackModifier_ballista,Rare Poison Striker,rune_ability_111_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentPoison,rune_ballista_damage_02.png,,
Rare_buildingSpecialAttackModifier_ballistaEvent,Rare Poison Striker Glyph,rune_ability_112_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentPoison,rune_ballista_projectiles_utility_02.png,,
Rare_buildingSpecialAttackModifier_cannonTower,Rare Cannon Striker,rune_ability_113_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentCannon,rune_cannon_damage_02.png,,
Rare_buildingSpecialAttackModifier_cannonTowerEvent,Rare Cannon Striker Glyph,rune_ability_114_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentCannon,rune_ballista_projectiles_utility_02.png,,
Rare_buildingSpecialAttackModifier_hogFarm,Rare Healing Striker,rune_ability_115_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentHealing,rune_farm_protection_02.png,,
Rare_buildingSpecialAttackModifier_hogFarmEvent,Rare Healing Striker Glyph,rune_ability_116_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentHealing,rune_buildTime_utility_02.png,,
Rare_buildingSpecialAttackModifier_lightningTower,Rare Lightning Striker,rune_ability_117_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentLightning,rune_lightning_damage_02.png,,
Rare_buildingSpecialAttackModifier_lightningTowerEvent,Rare Lightning Striker Glyph,rune_ability_118_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentLightning,rune_rebuchet_projectiles_damage_02.png,,
Rare_buildingSpecialAttackModifier_lumberMill,Rare Healing Striker,rune_ability_119_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentHealing,rune_mill_protection_02.png,,
Rare_buildingSpecialAttackModifier_lumberMillEvent,Rare Healing Striker Glyph,rune_ability_120_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentHealing,rune_mill_protection_02_event.png,,
Rare_buildingSpecialAttackModifier_mageBlueTower,Rare Blue Mage HP,rune_ability_121_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentMystic,rune_blueMage_utility_02.png,,
Rare_buildingSpecialAttackModifier_mageBlueTowerEvent,Rare Blue Mage HP Glyph,rune_ability_122_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentMystic,rune_red_blueMage_utility_02.png,,
Rare_buildingSpecialAttackModifier_mageTower,Rare Red Mage HP,rune_ability_123_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentArcane,rune_redMage_utility_02.png,,
Rare_buildingSpecialAttackModifier_mageTowerEvent,Rare Red Mage HP Glyph,rune_ability_124_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentArcane,rune_red_blueMage_utility_02.png,,
Rare_buildingSpecialAttackModifier_stormTower,Rare Storm Striker,rune_ability_125_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentStorm,rune_stormTower_utility_02.png,,
Rare_buildingSpecialAttackModifier_stormTowerEvent,Rare Storm Striker Glyph,rune_ability_126_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentStorm,rune_buildTime_utility_02.png,,
Rare_buildingSpecialAttackModifier_trebuchet,Rare Trebuchet Striker,rune_ability_127_0,monument,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentTrebuchet,rune_trebuchet_damage_02.png,,
Rare_buildingSpecialAttackModifier_trebuchetEvent,Rare Trebuchet Striker Glyph,rune_ability_128_0,monument,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,monumentTrebuchet,rune_rebuchet_projectiles_damage_02.png,,
Rare_chaosAttackModifier,Rare Chaos,rune_ability_129_0,dragon,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_frenzy_duration_02.png,,
Rare_chaosAttackModifierEvent,Rare Chaos Glyph,rune_ability_130_0,dragon,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,attackWhelp,rune_cloak_EXP_duration_02.png,,
Rare_chargedShieldDamageAbsorptionIncreaseModifier,Rare Warrior HP,rune_ability_131_0,dragon,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,defenseWhelp,rune_warrior_HP_02.png,,
Rare_chargedShieldDamageAbsorptionIncreaseModifierEvent,Rare Warrior HP Glyph,rune_ability_132_0,dragon,event,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,defenseWhelp,rune_warrior_HP_02_event.png,,
Rare_cloakDurationModifier,Rare Cloak,rune_ability_133_0,dragon,normal,,,3,rune_salvage_3,runeDust:2500|runeDust:4100,defenseWhelp,rune_cloak_duration_02.png,,
