identifier,ability,abilityOperator,abilityText,abilityUnit,enhanceValues,h
rune_ability_34_0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.07|0.09,
rune_ability_35_0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.01,
rune_ability_36_0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.01,
rune_ability_37_0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.01,
rune_ability_38_0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.01,
rune_ability_39_0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.01,
rune_ability_40_0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.01,
rune_ability_41_0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09,
rune_ability_42_0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09,
rune_ability_43_0,spellAttackModifier_chaos,+,Chaos Damage,%,0.14|0.18,
rune_ability_44_0,spellAttackModifier_chaos,+,Chaos Damage,%,0.14|0.18,
rune_ability_45_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,
rune_ability_46_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,
rune_ability_47_0,spellDurationModifier_cloak,+,Cloak Duration,s,0.28|0.36,
rune_ability_48_0,spellDurationModifier_cloak,+,Cloak Duration,s,0.28|0.36,
rune_ability_49_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.14|0.18,
rune_ability_50_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.14|0.18,
rune_ability_51_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,
rune_ability_52_0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,
rune_ability_53_0,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027,
rune_ability_54_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.032|0.041,
rune_ability_55_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.14|0.18,
rune_ability_56_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.14|0.18,
rune_ability_57_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.01,
rune_ability_58_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.01,
rune_ability_59_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.01,
rune_ability_60_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.24|0.32,
rune_ability_61_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.24|0.32,
rune_ability_62_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.028|0.036,
rune_ability_63_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.25|0.32,
rune_ability_64_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.25|0.32,
rune_ability_65_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.14|0.18,
rune_ability_66_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.14|0.18,
rune_ability_67_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.14|0.18,
rune_ability_68_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.14|0.18,
rune_ability_69_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.14|0.18,
rune_ability_70_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.14|0.18,
rune_ability_71_0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.14|0.18,
rune_ability_72_0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.14|0.18,
rune_ability_73_0,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.013|0.017,
rune_ability_74_0,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.013|0.017,
rune_ability_75_0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.013|0.017,
rune_ability_76_0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.013|0.017,
rune_ability_77_0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.013|0.017,
rune_ability_78_0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.013|0.017,
rune_ability_79_0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.013|0.017,
rune_ability_80_0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.013|0.017,
rune_ability_81_0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.013|0.017,
rune_ability_82_0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.013|0.017,
rune_ability_83_0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.013|0.017,
rune_ability_84_0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.013|0.017,
rune_ability_85_0,spellDurationModifier_invertSpellReverse,+,Invert Duration,s,0.14|0.18,
rune_ability_86_0,spellDurationModifier_invertSpellReverse,+,Invert Duration,s,0.14|0.18,
rune_ability_87_0,dragonRageGenerationModifier,+,Dragon Rage,%,0.1|0.11|0.12|0.13|0.14,
rune_ability_87_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Cannon Resist,%,0.2|0.21|0.22|0.23|0.24,
rune_ability_88_0,buildingSpecialAttackModifier_cannonTower,+,Red and Blue Mage rage drain,%,0.1|0.11|0.12|0.13|0.14,
rune_ability_89_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104,
rune_ability_90_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.072|0.088|0.104,
rune_ability_91_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.009|0.0125,
rune_ability_92_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.005|0.009|0.0125,
rune_ability_93_0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.009|0.0125,
rune_ability_94_0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.005|0.009|0.0125,
rune_ability_95_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.009|0.0125,
rune_ability_96_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.005|0.009|0.0125,
rune_ability_97_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.009|0.0125,
rune_ability_98_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.005|0.009|0.0125,
rune_ability_99_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.009|0.0125,
rune_ability_100_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.005|0.009|0.0125,
rune_ability_101_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.009|0.0125,
rune_ability_102_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.005|0.009|0.0125,
rune_ability_103_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.027|0.033|0.039,
rune_ability_104_0,ballistaPoisonAffectDragonDamageModifier,-,Poison Reduces Dragon Damage,%,0.027|0.033|0.039,
rune_ability_105_0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.009|0.0125,
rune_ability_106_0,dragonClassAttackModifier_warrior,+,Warrior Attack,%,0.005|0.009|0.0125,
rune_ability_107_0,buildingProductionModifier_hogFarm,+,Increase Food Production production,%,0.011|0.013|0.016,
rune_ability_108_0,buildingProductionModifier_woodFarm,+,Increase Lumber Production production,%,0.011|0.013|0.016,
rune_ability_109_0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_110_0,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_111_0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_112_0,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_113_0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_114_0,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_115_0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.09|0.11|0.13,
rune_ability_116_0,buildingSpecialAttackModifier_hogFarm,+,Sheep Farm Super Shot Heal,%,0.09|0.11|0.13,
rune_ability_117_0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_118_0,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_119_0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.09|0.11|0.13,
rune_ability_120_0,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Heal,%,0.09|0.11|0.13,
rune_ability_121_0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.009|0.0125,
rune_ability_122_0,buildingHPModifier_mageBlueTower,+,Increase Blue Mage Tower HP,%,0.005|0.009|0.0125,
rune_ability_123_0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.009|0.0125,
rune_ability_124_0,buildingHPModifier_mageTower,+,Increase Red Mage Tower HP,%,0.005|0.009|0.0125,
rune_ability_125_0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.009|0.0125,
rune_ability_126_0,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.005|0.009|0.0125,
rune_ability_127_0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_128_0,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.09|0.11|0.13,
rune_ability_129_0,spellAttackModifier_chaos,+,Chaos Damage,%,0.18|0.22|0.26,
rune_ability_130_0,spellAttackModifier_chaos,+,Chaos Damage,%,0.18|0.22|0.26,
rune_ability_131_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.009|0.0125,
rune_ability_132_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.009|0.0125,
rune_ability_133_0,spellDurationModifier_cloak,+,Cloak Duration,s,0.36|0.44|0.52,
rune_ability_134_0,spellDurationModifier_cloak,+,Cloak Duration,s,0.36|0.44|0.52,
rune_ability_135_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26,
rune_ability_136_0,spellDurationModifier_dodge,+,Evasion Duration,s,0.18|0.22|0.26,
rune_ability_137_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.009|0.0125,
rune_ability_138_0,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039,
rune_ability_139_0,dragonRageGenerationModifier,+,Rage Generation,%,0.027|0.033|0.039,
rune_ability_140_0,dragonXPGainModifier,+,Experience Gain Increase,%,0.041|0.05|0.059,
rune_ability_141_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.18|0.22|0.26,
rune_ability_142_0,spellDurationModifier_freezeSpell,+,Freeze Duration,s,0.18|0.22|0.26,
rune_ability_143_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.009|0.0125,
rune_ability_144_0,dragonClassAttackModifier_hunter,+,Increase Hunter Attack,%,0.005|0.009|0.0125,
rune_ability_145_0,dragonClassHPModifier_warrior,+,Increase Warrior HP,%,0.005|0.009|0.0125,
rune_ability_146_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.59|0.72|0.85,
rune_ability_147_0,spellDurationModifier_healDragon,+,Rejuvenate Duration,s,0.59|0.72|0.85,
rune_ability_148_0,healDragonReduceDamageModifier_healDragon,+,Rejuvenate Prevents Damage,%,0.036|0.044|0.052,
rune_ability_149_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46,
rune_ability_150_0,spellHealingIncreaseModifier_healingMark,+,Healing Mark Multiplier,%,0.32|0.39|0.46,
rune_ability_151_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.18|0.22|0.26,
rune_ability_152_0,spellDurationModifier_hurricane,+,Wind Wall Duration,s,0.18|0.22|0.26,
rune_ability_153_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.18|0.22|0.26,
rune_ability_154_0,spellDurationModifier_iceShock,+,Ice Shock Duration,s,0.18|0.22|0.26,
rune_ability_155_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.18|0.22|0.26,
rune_ability_156_0,spellDurationModifier_invertSpell,+,Reverse Projectiles Duration,s,0.18|0.22|0.26,
rune_ability_157_0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26,
rune_ability_158_0,spellDurationModifier_invincibleSpell,+,Invincibility Duration,s,0.18|0.22|0.26,
rune_ability_159_0,resistAbilityIncreaseModifierKeyFormat_archer,+,Increase Archer Tower Resist,%,0.017|0.021|0.025,
rune_ability_160_0,resistAbilityIncreaseModifierKeyFormat_archer,+,Resist Archer Tower,%,0.017|0.021|0.025,
rune_ability_161_0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025,
rune_ability_162_0,resistAbilityIncreaseModifierKeyFormat_ballista,+,Increase Ballista Resist,%,0.017|0.021|0.025,
rune_ability_163_0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025,
rune_ability_164_0,resistAbilityIncreaseModifierKeyFormat_cannon,+,Increase Cannon Tower Resist,%,0.017|0.021|0.025,
rune_ability_165_0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025,
rune_ability_166_0,resistAbilityIncreaseModifierKeyFormat_lightning,+,Increase Lightning Tower Resist,%,0.017|0.021|0.025,
rune_ability_167_0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025,
rune_ability_168_0,resistAbilityIncreaseModifierKeyFormat_storm,+,Increase Storm Tower Resist,%,0.017|0.021|0.025,
rune_ability_169_0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025,
rune_ability_170_0,resistAbilityIncreaseModifierKeyFormat_trebuchet,+,Increase Trebuchet Resist,%,0.017|0.021|0.025,
rune_ability_171_0,spellDurationModifier_invertSpellReverse,+,Invert Duration,s,0.18|0.22|0.26,
rune_ability_172_0,spellDurationModifier_invertSpellReverse,+,Reverse Projectiles Duration,s,0.18|0.22|0.26,
rune_ability_173_0,dragonRageGenerationModifier,+,Dragon Rage,%,0.1|0.11|0.12|0.13|0.14,
rune_ability_173_1,resistAbilityIncreaseModifierKeyFormat_cannon,+,Cannon Resist,%,0.2|0.21|0.22|0.23|0.24,
rune_ability_174_0,buildingSpecialAttackModifier_cannonTower,+,Trebuchet projectile damage,%,0.1|0.11|0.12|0.13|0.14,
rune_ability_175_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_175_1,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027|0.027|0.027,
rune_ability_176_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_176_1,dragonRageGenerationModifier,+,Rage Generation,%,0.021|0.027|0.027|0.027,
rune_ability_177_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_177_1,spellDurationModifier_invertSpell,+,Invert Duration,s,0.14|0.18|0.18|0.18,
rune_ability_178_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_178_1,spellDurationModifier_invertSpell,+,Invert Duration,s,0.14|0.18|0.18|0.18,
rune_ability_179_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_179_1,chainLightningNumChainsModifier_chainLightning,+,Chain Lightning Chains,chains,0|0|1|1,
rune_ability_180_0,spellDamageIncreaseModifier_aoeSpell,+,Fireball Damage,%,0.096|0.112|0.128|0.144,
rune_ability_180_1,dragonXPGainModifier,+,Experience Gain Increase,%,0.032|0.041|0.041|0.041,
rune_ability_181_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_181_1,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_182_0,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_182_1,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_183_0,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_183_1,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_184_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_184_1,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_185_0,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_185_1,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_186_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_186_1,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_187_0,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_187_1,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_188_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_188_1,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.01|0.013|0.017|0.02,
rune_ability_189_0,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_189_1,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.01|0.013|0.017|0.02,
rune_ability_190_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_190_1,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_191_0,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_191_1,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_192_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_192_1,buildingSpecialAttackModifier_lightningTower,+,Lightning Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_193_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_193_1,buildingSpecialAttackModifier_woodFarm,+,Lumber Mill Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_194_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_194_1,buildingAttackModifier_lightningTower,+,Increase Lightning Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_195_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_195_1,buildingAttackModifier_cannonTower,+,Increase Cannon Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_196_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_196_1,buildingAttackModifier_archerTower,+,Increase Archer Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_197_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_197_1,buildingAttackModifier_trebuchet,+,Increase Trebuchet Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_198_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_198_1,buildingAttackModifier_stormTower,+,Increase Storm Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_199_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_199_1,buildingAttackModifier_ballista,+,Increase Ballista Tower Attack,%,0.01|0.013|0.017|0.02,
rune_ability_200_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_200_1,buildingProductionModifier_hogFarm,+,Increase Sheep Farm production,%,0.008|0.011|0.011|0.011,
rune_ability_201_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_201_1,buildingProductionModifier_woodFarm,+,Increase Lumber Mill production,%,0.008|0.011|0.011|0.011,
rune_ability_202_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_202_1,ballistaPoisonAffectDragonDamageModifier,-,Poison Reduces Dragon Damage,%,0.021|0.027|0.027|0.027,
rune_ability_203_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_203_1,buildingSpecialAttackModifier_cannonTower,+,Cannon Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_204_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_204_1,buildingSpecialAttackModifier_archerTower,+,Archer Tower Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_205_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_205_1,buildingSpecialAttackModifier_trebuchet,+,Trebuchet Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_206_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_206_1,buildingHPModifier_stormTower,+,Increase Storm Tower HP,%,0.01|0.013|0.017|0.02,
rune_ability_207_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
rune_ability_207_1,buildingSpecialAttackModifier_ballista,+,Ballista Super Shot Damage,%,0.07|0.09|0.09|0.09,
rune_ability_208_0,ballistaPoisonAffectDamageToDragonModifier,+,Poison Increases Damage to Dragon,%,0.036|0.042|0.048|0.054,
